Age_Group,Gender,City_Tier,State,Occupation,Monthly_Income,Handcrafted_Frequency,Purchase_Channel,Primary_Factor,Design_Preference,Preferred_Products,Bag_Type,Decor_Preference,Embroidery_Level,Mirror_Work,Color_Family,Purchase_Occasion,Budget_Handbag,Budget_Apparel,Budget_HomeDecor,Discount_Influence,Preferred_Offer,Online_Trust_Buy,Trust_Factor,Authenticity_Score,Limited_Edition_Preference,Purchase_Interest
31-40,Male,Metro,West Bengal,Freelancer,100000-200000,Occasionally,Retail stores,Utility,Depends on product,"Gift sets, Jackets / shrugs",Sling bag,Table runners,Minimal embroidery,Strong mirror work,Bright colors,Weddings,500-1000,2000-4000,500-1500,Strongly yes,Free shipping,Yes,Reviews,5,Yes,Unsure
Above 50,Female,Tier 3 / Rural,Tamil Nadu,Salaried Employee,Above 200000,Frequently,Local exhibitions,Utility,Depends on product,"Handbags, Cushion covers",Sling bag,Decorative organizers,Moderate embroidery,No mirror work,Earth tones,Gifting,Below 500,Below 1000,Below 500,Strongly yes,Flat discount,Depends on reviews,Return policy,4,Yes,Likely
Below 20,Male,Metro,Gujarat,Student,50000-100000,Frequently,Online marketplaces,Design,Minimal modern,"Laptop sleeves / utility pouches, Gift sets",Office handbag,Decorative organizers,Minimal embroidery,No mirror work,Black / neutral,Daily use,Below 500,Above 4000,500-1500,Sometimes,Festival combo pack,No,Reviews,4,No,Likely
31-40,Female,Tier 3 / Rural,Gujarat,Freelancer,50000-100000,Occasionally,Local exhibitions,Design,Minimal modern,"Jackets / shrugs, Handbags, Laptop sleeves / utility pouches",Sling bag,Table runners,Moderate embroidery,Strong mirror work,Black / neutral,Festive use,Above 2000,1000-2000,500-1500,Strongly yes,Flat discount,No,Return policy,4,No,Likely
Above 50,Female,Tier 2,Rajasthan,Freelancer,Below 25000,Frequently,Retail stores,Utility,Traditional,"Cushion covers, Laptop sleeves / utility pouches",Office handbag,Decorative organizers,Moderate embroidery,No mirror work,Earth tones,Daily use,Below 500,2000-4000,500-1500,Strongly yes,Festival combo pack,No,Product images,5,No,Likely
31-40,Female,Metro,Maharashtra,Other,50000-100000,Occasionally,Online marketplaces,Price,Minimal modern,Jackets / shrugs,Sling bag,Table runners,Moderate embroidery,Light mirror work,Earth tones,Office use,Above 2000,Above 4000,1500-3000,Strongly yes,Free shipping,Yes,Product images,1,Yes,Very unlikely
21-30,Male,Tier 3 / Rural,Rajasthan,Other,Below 25000,Occasionally,Retail stores,Design,Minimal modern,"Gift sets, Handbags, Laptop sleeves / utility pouches",Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Black / neutral,Office use,Below 500,Below 1000,1500-3000,Sometimes,Flat discount,Yes,Brand story,1,No,Very unlikely
41-50,Male,Tier 2,West Bengal,Salaried Employee,Above 200000,Frequently,Retail stores,Brand,Minimal modern,Gift sets,Office handbag,Decorative organizers,Moderate embroidery,No mirror work,Pastel shades,Daily use,Above 2000,Above 4000,1500-3000,No,Festival combo pack,No,Reviews,2,Yes,Likely
21-30,Male,Tier 2,Maharashtra,Business Owner,100000-200000,Never,During travel,Authenticity,Fusion,"Laptop sleeves / utility pouches, Cushion covers",Tote bag,Table runners,Moderate embroidery,Strong mirror work,Bright colors,Festive use,Below 500,Below 1000,500-1500,No,Flat discount,Yes,Product images,5,No,Likely
Below 20,Female,Tier 2,Tamil Nadu,Business Owner,Below 25000,Rarely,Online marketplaces,Price,Traditional,"Cushion covers, Laptop sleeves / utility pouches, Gift sets",Clutch,Table runners,Minimal embroidery,No mirror work,Earth tones,Daily use,Below 500,1000-2000,500-1500,Sometimes,Flat discount,No,Return policy,3,No,Unlikely
Below 20,Male,Tier 3 / Rural,Telangana,Homemaker,Above 200000,Rarely,Online marketplaces,Brand,Fusion,Laptop sleeves / utility pouches,Clutch,Table runners,Heavy embroidery,No mirror work,Bright colors,Office use,1000-2000,Below 1000,500-1500,Sometimes,Free shipping,Yes,Reviews,4,No,Unsure
41-50,Male,Metro,Gujarat,Homemaker,100000-200000,Frequently,Instagram stores,Authenticity,Minimal modern,"Handbags, Cushion covers",Office handbag,Cushion covers,Heavy embroidery,Light mirror work,Earth tones,Daily use,Below 500,1000-2000,Above 3000,No,Free shipping,Yes,Return policy,3,Yes,Unlikely
Below 20,Male,Metro,Rajasthan,Student,Below 25000,Rarely,Online marketplaces,Design,Depends on product,"Cushion covers, Laptop sleeves / utility pouches",Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Bright colors,Gifting,Above 2000,2000-4000,Below 500,Strongly yes,Festival combo pack,Depends on reviews,Brand story,1,No,Unsure
31-40,Female,Tier 3 / Rural,Gujarat,Student,Above 200000,Never,During travel,Design,Depends on product,Laptop sleeves / utility pouches,Clutch,Cushion covers,Moderate embroidery,Strong mirror work,Bright colors,Daily use,500-1000,2000-4000,500-1500,Sometimes,Festival combo pack,No,Return policy,3,Yes,Unlikely
41-50,Female,Metro,Maharashtra,Student,100000-200000,Occasionally,Local exhibitions,Utility,Traditional,"Handbags, Gift sets, Laptop sleeves / utility pouches",Tote bag,Cushion covers,Minimal embroidery,No mirror work,Earth tones,Weddings,1000-2000,Below 1000,500-1500,Sometimes,Buy 2 Get 1,Depends on reviews,Brand story,4,No,Likely
Below 20,Female,Tier 2,Tamil Nadu,Homemaker,100000-200000,Never,During travel,Design,Depends on product,Handbags,Tote bag,Table runners,Moderate embroidery,No mirror work,Pastel shades,Weddings,1000-2000,Above 4000,Above 3000,Sometimes,Festival combo pack,Yes,Reviews,2,No,Unlikely
41-50,Male,Tier 1,Delhi,Freelancer,Above 200000,Rarely,Instagram stores,Brand,Minimal modern,Handbags,Sling bag,Decorative organizers,Heavy embroidery,Light mirror work,Bright colors,Gifting,Above 2000,Below 1000,Below 500,Strongly yes,Buy 2 Get 1,Depends on reviews,Product images,4,Yes,Unlikely
31-40,Female,Tier 3 / Rural,Karnataka,Business Owner,Above 200000,Occasionally,Local exhibitions,Brand,Traditional,Gift sets,Tote bag,Table runners,Minimal embroidery,No mirror work,Black / neutral,Gifting,Below 500,Above 4000,1500-3000,Strongly yes,Flat discount,Yes,Product images,5,No,Unsure
41-50,Female,Tier 2,Karnataka,Student,Above 200000,Frequently,During travel,Price,Minimal modern,Handbags,Clutch,Decorative organizers,Minimal embroidery,Strong mirror work,Black / neutral,Festive use,Above 2000,Below 1000,500-1500,Strongly yes,Festival combo pack,Depends on reviews,Return policy,1,Yes,Unlikely
21-30,Female,Tier 3 / Rural,West Bengal,Salaried Employee,25000-50000,Never,Local exhibitions,Authenticity,Fusion,"Gift sets, Jackets / shrugs, Cushion covers",Sling bag,Cushion covers,Heavy embroidery,Light mirror work,Earth tones,Weddings,Above 2000,Below 1000,1500-3000,Sometimes,Flat discount,Yes,Return policy,2,No,Unlikely
31-40,Female,Metro,Telangana,Freelancer,Below 25000,Occasionally,Retail stores,Authenticity,Fusion,"Cushion covers, Jackets / shrugs",Tote bag,Cushion covers,Heavy embroidery,Strong mirror work,Black / neutral,Weddings,500-1000,1000-2000,1500-3000,Sometimes,Free shipping,Yes,Reviews,5,No,Highly likely
Below 20,Female,Tier 1,Gujarat,Homemaker,Above 200000,Frequently,During travel,Brand,Fusion,"Gift sets, Cushion covers",Tote bag,Decorative organizers,Heavy embroidery,No mirror work,Black / neutral,Weddings,Above 2000,Below 1000,Below 500,No,Free shipping,No,Product images,4,No,Unlikely
Below 20,Female,Tier 1,Delhi,Other,Below 25000,Occasionally,Retail stores,Authenticity,Depends on product,"Cushion covers, Gift sets, Laptop sleeves / utility pouches",Office handbag,Cushion covers,Heavy embroidery,Strong mirror work,Earth tones,Weddings,Above 2000,Above 4000,1500-3000,Strongly yes,Festival combo pack,Depends on reviews,Return policy,1,Yes,Likely
31-40,Female,Metro,Telangana,Freelancer,50000-100000,Never,Local exhibitions,Design,Depends on product,"Laptop sleeves / utility pouches, Jackets / shrugs, Handbags",Tote bag,Cushion covers,Minimal embroidery,Strong mirror work,Bright colors,Office use,Above 2000,2000-4000,Above 3000,Strongly yes,Flat discount,Yes,Brand story,2,No,Highly likely
Below 20,Female,Tier 2,Karnataka,Other,100000-200000,Frequently,Local exhibitions,Price,Minimal modern,Jackets / shrugs,Clutch,Wall décor textile,Heavy embroidery,Light mirror work,Bright colors,Daily use,1000-2000,Above 4000,Below 500,Strongly yes,Free shipping,No,Product images,4,Yes,Unlikely
31-40,Male,Tier 3 / Rural,Tamil Nadu,Student,100000-200000,Frequently,Instagram stores,Utility,Minimal modern,Cushion covers,Sling bag,Table runners,Heavy embroidery,Light mirror work,Earth tones,Festive use,1000-2000,Above 4000,1500-3000,No,Festival combo pack,No,Brand story,1,No,Highly likely
Below 20,Male,Tier 1,Telangana,Salaried Employee,Above 200000,Occasionally,Retail stores,Price,Minimal modern,Gift sets,Office handbag,Cushion covers,Minimal embroidery,Strong mirror work,Bright colors,Office use,1000-2000,Above 4000,Above 3000,Sometimes,Festival combo pack,No,Product images,2,Yes,Likely
Above 50,Male,Tier 2,Delhi,Business Owner,50000-100000,Frequently,Local exhibitions,Authenticity,Minimal modern,"Handbags, Laptop sleeves / utility pouches",Office handbag,Cushion covers,Moderate embroidery,Strong mirror work,Pastel shades,Gifting,500-1000,1000-2000,Below 500,No,Free shipping,Yes,Brand story,5,No,Highly likely
Below 20,Female,Metro,Rajasthan,Freelancer,25000-50000,Rarely,Online marketplaces,Utility,Minimal modern,"Laptop sleeves / utility pouches, Gift sets, Cushion covers",Office handbag,Wall décor textile,Minimal embroidery,Light mirror work,Pastel shades,Office use,1000-2000,Below 1000,500-1500,Sometimes,Buy 2 Get 1,No,Reviews,4,Yes,Likely
21-30,Male,Metro,Maharashtra,Homemaker,100000-200000,Never,Online marketplaces,Utility,Fusion,Handbags,Tote bag,Table runners,Minimal embroidery,Strong mirror work,Pastel shades,Weddings,Below 500,Below 1000,Below 500,Strongly yes,Free shipping,Depends on reviews,Brand story,4,No,Highly likely
Below 20,Male,Tier 3 / Rural,Tamil Nadu,Business Owner,Below 25000,Occasionally,Online marketplaces,Authenticity,Traditional,"Cushion covers, Handbags, Gift sets",Sling bag,Wall décor textile,Moderate embroidery,Light mirror work,Bright colors,Office use,Above 2000,Above 4000,Above 3000,No,Flat discount,Depends on reviews,Reviews,3,No,Very unlikely
Above 50,Male,Tier 3 / Rural,West Bengal,Business Owner,Below 25000,Rarely,Instagram stores,Authenticity,Traditional,"Jackets / shrugs, Handbags, Laptop sleeves / utility pouches",Sling bag,Decorative organizers,Minimal embroidery,Strong mirror work,Earth tones,Office use,500-1000,Below 1000,Below 500,Strongly yes,Flat discount,Yes,Brand story,4,Yes,Highly likely
Below 20,Female,Tier 1,Delhi,Student,25000-50000,Occasionally,Online marketplaces,Price,Depends on product,"Gift sets, Laptop sleeves / utility pouches",Clutch,Decorative organizers,Moderate embroidery,No mirror work,Pastel shades,Daily use,1000-2000,2000-4000,Below 500,No,Free shipping,Yes,Return policy,3,No,Unsure
21-30,Male,Tier 3 / Rural,Tamil Nadu,Freelancer,50000-100000,Frequently,Local exhibitions,Design,Traditional,Jackets / shrugs,Office handbag,Cushion covers,Minimal embroidery,Light mirror work,Pastel shades,Weddings,1000-2000,2000-4000,Above 3000,Strongly yes,Free shipping,Depends on reviews,Brand story,4,No,Unlikely
31-40,Female,Tier 3 / Rural,Telangana,Homemaker,25000-50000,Never,Local exhibitions,Utility,Traditional,Jackets / shrugs,Sling bag,Decorative organizers,Moderate embroidery,Light mirror work,Bright colors,Daily use,500-1000,1000-2000,Below 500,No,Free shipping,Depends on reviews,Brand story,5,Yes,Unsure
41-50,Male,Metro,Maharashtra,Homemaker,25000-50000,Rarely,Retail stores,Price,Traditional,"Jackets / shrugs, Cushion covers",Sling bag,Wall décor textile,Moderate embroidery,No mirror work,Bright colors,Festive use,Above 2000,Above 4000,Below 500,No,Festival combo pack,Depends on reviews,Brand story,5,Yes,Likely
Above 50,Female,Tier 1,Tamil Nadu,Homemaker,Above 200000,Rarely,During travel,Utility,Minimal modern,"Laptop sleeves / utility pouches, Cushion covers, Gift sets",Sling bag,Table runners,Heavy embroidery,No mirror work,Bright colors,Gifting,Below 500,1000-2000,Below 500,Strongly yes,Flat discount,No,Reviews,1,No,Very unlikely
Above 50,Female,Tier 3 / Rural,Tamil Nadu,Salaried Employee,Below 25000,Occasionally,Local exhibitions,Authenticity,Fusion,Cushion covers,Tote bag,Wall décor textile,Moderate embroidery,Strong mirror work,Black / neutral,Gifting,500-1000,1000-2000,Below 500,Sometimes,Flat discount,Yes,Reviews,4,Yes,Very unlikely
21-30,Female,Tier 2,West Bengal,Other,25000-50000,Rarely,During travel,Design,Depends on product,"Gift sets, Handbags",Clutch,Cushion covers,Heavy embroidery,No mirror work,Black / neutral,Daily use,1000-2000,Below 1000,Below 500,No,Free shipping,No,Return policy,5,Yes,Unsure
Above 50,Female,Tier 2,West Bengal,Salaried Employee,50000-100000,Never,Retail stores,Utility,Minimal modern,"Laptop sleeves / utility pouches, Jackets / shrugs",Sling bag,Cushion covers,Heavy embroidery,No mirror work,Pastel shades,Weddings,1000-2000,Above 4000,Below 500,Strongly yes,Free shipping,Depends on reviews,Brand story,5,No,Unsure
31-40,Male,Metro,Maharashtra,Other,Below 25000,Rarely,Local exhibitions,Brand,Depends on product,"Handbags, Cushion covers, Gift sets",Office handbag,Table runners,Moderate embroidery,No mirror work,Pastel shades,Daily use,500-1000,Above 4000,Above 3000,Strongly yes,Buy 2 Get 1,Yes,Reviews,5,Yes,Highly likely
31-40,Male,Tier 2,West Bengal,Other,50000-100000,Frequently,Online marketplaces,Authenticity,Depends on product,"Gift sets, Laptop sleeves / utility pouches",Office handbag,Decorative organizers,Heavy embroidery,No mirror work,Earth tones,Weddings,Below 500,Above 4000,Below 500,No,Festival combo pack,Yes,Product images,5,No,Very unlikely
31-40,Female,Metro,West Bengal,Homemaker,Above 200000,Rarely,Retail stores,Brand,Traditional,Cushion covers,Tote bag,Cushion covers,Moderate embroidery,Strong mirror work,,Festive use,Below 500,2000-4000,Above 3000,Strongly yes,Free shipping,No,Brand story,2,No,Unlikely
31-40,Female,Tier 2,Rajasthan,Freelancer,100000-200000,Rarely,Retail stores,Brand,Minimal modern,"Cushion covers, Laptop sleeves / utility pouches, Handbags",Office handbag,Table runners,Minimal embroidery,Strong mirror work,Earth tones,Office use,500-1000,2000-4000,500-1500,Sometimes,Buy 2 Get 1,Yes,Brand story,5,No,Unsure
Below 20,Female,Tier 2,Delhi,Salaried Employee,Above 200000,Occasionally,During travel,Brand,Traditional,"Jackets / shrugs, Handbags, Laptop sleeves / utility pouches",Office handbag,Cushion covers,Moderate embroidery,No mirror work,Earth tones,Daily use,Below 500,Above 4000,1500-3000,Strongly yes,Flat discount,Depends on reviews,Return policy,2,Yes,Unlikely
21-30,Female,Tier 1,Delhi,Homemaker,25000-50000,Frequently,Instagram stores,Design,Traditional,"Handbags, Gift sets",Office handbag,Decorative organizers,Moderate embroidery,Strong mirror work,,Gifting,500-1000,2000-4000,1500-3000,Strongly yes,Festival combo pack,No,Reviews,5,Yes,Unsure
Above 50,Male,Tier 3 / Rural,Tamil Nadu,Freelancer,Above 200000,Rarely,Local exhibitions,Authenticity,Fusion,"Jackets / shrugs, Handbags",Clutch,Cushion covers,Heavy embroidery,Light mirror work,Bright colors,Gifting,500-1000,2000-4000,500-1500,Strongly yes,Flat discount,No,Product images,4,Yes,Unlikely
Below 20,Male,Tier 2,Gujarat,Other,50000-100000,Never,During travel,Brand,Traditional,Cushion covers,Sling bag,Cushion covers,Minimal embroidery,No mirror work,Bright colors,Weddings,Above 2000,Below 1000,1500-3000,Strongly yes,Festival combo pack,Depends on reviews,Product images,3,Yes,Highly likely
Above 50,Male,Tier 2,Karnataka,Freelancer,100000-200000,Never,Local exhibitions,Design,Traditional,Handbags,Office handbag,Cushion covers,Heavy embroidery,Light mirror work,Earth tones,Gifting,1000-2000,Above 4000,Below 500,Strongly yes,Flat discount,Depends on reviews,Return policy,3,Yes,Highly likely
21-30,Male,Tier 3 / Rural,Gujarat,Student,50000-100000,Never,During travel,Brand,Fusion,"Cushion covers, Laptop sleeves / utility pouches",Office handbag,Table runners,Minimal embroidery,Strong mirror work,Pastel shades,Gifting,1000-2000,1000-2000,Below 500,Sometimes,Flat discount,Yes,Brand story,5,Yes,Highly likely
Below 20,Male,Tier 3 / Rural,Delhi,Salaried Employee,25000-50000,Never,Online marketplaces,Utility,Depends on product,"Gift sets, Handbags",Tote bag,Cushion covers,Moderate embroidery,Light mirror work,Black / neutral,Weddings,Above 2000,Below 1000,Above 3000,Strongly yes,Flat discount,Depends on reviews,Brand story,3,No,Unsure
31-40,Male,Tier 3 / Rural,Tamil Nadu,Student,25000-50000,Rarely,Retail stores,Utility,Minimal modern,Gift sets,Tote bag,Wall décor textile,Heavy embroidery,Light mirror work,Black / neutral,Office use,Above 2000,Below 1000,Below 500,Sometimes,Buy 2 Get 1,Depends on reviews,Reviews,5,Yes,Unlikely
Above 50,Female,Metro,Delhi,Student,Above 200000,Never,Retail stores,Authenticity,Fusion,Handbags,Tote bag,Wall décor textile,Minimal embroidery,Light mirror work,Earth tones,Office use,1000-2000,Below 1000,Below 500,No,Festival combo pack,Depends on reviews,Return policy,3,No,Unlikely
41-50,Prefer not to say,Tier 3 / Rural,Tamil Nadu,Salaried Employee,100000-200000,Rarely,Online marketplaces,Utility,Traditional,"Jackets / shrugs, Handbags",Sling bag,Table runners,Heavy embroidery,Light mirror work,Black / neutral,Festive use,Above 2000,2000-4000,500-1500,No,Buy 2 Get 1,No,Brand story,2,No,Very unlikely
31-40,Male,Tier 1,Tamil Nadu,Freelancer,Above 200000,Rarely,Retail stores,Authenticity,Fusion,Handbags,Tote bag,Decorative organizers,Heavy embroidery,Light mirror work,Black / neutral,Daily use,Above 2000,Below 1000,Above 3000,No,Free shipping,No,Brand story,5,No,Unlikely
21-30,Female,Tier 1,Karnataka,Student,100000-200000,Never,During travel,Authenticity,Traditional,Jackets / shrugs,Office handbag,Cushion covers,Heavy embroidery,Light mirror work,Black / neutral,Festive use,1000-2000,Above 4000,Above 3000,No,Free shipping,No,Reviews,5,Yes,Unlikely
21-30,Male,Metro,Tamil Nadu,Freelancer,Above 200000,Never,Retail stores,Authenticity,Minimal modern,Laptop sleeves / utility pouches,Clutch,Table runners,Heavy embroidery,No mirror work,Earth tones,Weddings,500-1000,2000-4000,Above 3000,Strongly yes,Free shipping,Yes,Product images,2,No,Unlikely
